trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
1_平日_17時20分_系統51111,17:23:00,17:23:00,1005026-20,5,5　ゆめタウン佐賀,0,0,,
1_平日_17時20分_系統51111,17:24:00,17:24:00,1005027-20,6,5　ゆめタウン佐賀,0,0,,
1_平日_17時20分_系統51111,17:25:00,17:25:00,1005028-20,7,5　ゆめタウン佐賀,0,0,,
1_平日_17時20分_系統51111,17:35:00,17:35:00,1005031-00,8,5　ゆめタウン佐賀,1,0,,
1_平日_17時40分_系統51111,17:40:00,17:40:00,1001002-01,1,5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）,0,1,,
1_平日_17時40分_系統51111,17:41:00,17:41:00,1005023-20,2,5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）,0,0,,
1_平日_17時40分_系統51111,17:42:00,17:42:00,1005024-20,3,5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）,0,0,,
1_平日_17時40分_系統51111,17:43:00,17:43:00,1005025-20,4,5　ゆめタウン佐賀,0,0,,
1_平日_17時40分_系統51111,17:43:00,17:43:00,1005026-20,5,5　ゆめタウン佐賀,0,0,,
1_平日_17時40分_系統51111,17:44:00,17:44:00,1005027-20,6,5　ゆめタウン佐賀,0,0,,
1_平日_17時40分_系統51111,17:45:00,17:45:00,1005028-20,7,5　ゆめタウン佐賀,0,0,,
1_平日_17時40分_系統51111,17:55:00,17:55:00,1005031-00,8,5　ゆめタウン佐賀,1,0,,
1_平日_18時30分_系統51111,18:30:00,18:30:00,1001002-01,1,5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）,0,1,,
1_平日_18時30分_系統51111,18:31:00,18:31:00,1005023-20,2,5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）,0,0,,
1_平日_18時30分_系統51111,18:32:00,18:32:00,1005024-20,3,5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）,0,0,,
1_平日_18時30分_系統51111,18:33:00,18:33:00,1005025-20,4,5　ゆめタウン佐賀,0,0,,
1_平日_18時30分_系統51111,18:33:00,18:33:00,1005026-20,5,5　ゆめタウン佐賀,0,0,,
1_平日_18時30分_系統51111,18:34:00,18:34:00,1005027-20,6,5　ゆめタウン佐賀,0,0,,
1_平日_18時30分_系統51111,18:35:00,18:35:00,1005028-20,7,5　ゆめタウン佐賀,0,0,,
1_平日_18時30分_系統51111,18:42:00,18:42:00,1005031-00,8,5　ゆめタウン佐賀,1,0,,
1_平日_19時30分_系統51111,19:30:00,19:30:00,1001002-01,1,5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）,0,1,,
1_平日_19時30分_系統51111,19:31:00,19:31:00,1005023-20,2,5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）,0,0,,
1_平日_19時30分_系統51111,19:32:00,19:32:00,1005024-20,3,5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）,0,0,,
1_平日_19時30分_系統51111,19:33:00,19:33:00,1005025-20,4,5　ゆめタウン佐賀,0,0,,
1_平日_19時30分_系統51111,19:33:00,19:33:00,1005026-20,5,5　ゆめタウン佐賀,0,0,,
1_平日_19時30分_系統51111,19:34:00,19:34:00,1005027-20,6,5　ゆめタウン佐賀,0,0,,
1_平日_19時30分_系統51111,19:35:00,19:35:00,1005028-20,7,5　ゆめタウン佐賀,0,0,,
1_平日_19時30分_系統51111,19:42:00,19:42:00,1005031-00,8,5　ゆめタウン佐賀,1,0,,
1_平日_20時00分_系統51111,20:00:00,20:00:00,1001002-01,1,5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）,0,1,,
1_平日_20時00分_系統51111,20:01:00,20:01:00,1005023-20,2,5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）,0,0,,
1_平日_20時00分_系統51111,20:02:00,20:02:00,1005024-20,3,5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）,0,0,,
1_平日_20時00分_系統51111,20:03:00,20:03:00,1005025-20,4,5　ゆめタウン佐賀,0,0,,
1_平日_20時00分_系統51111,20:03:00,20:03:00,1005026-20,5,5　ゆめタウン佐賀,0,0,,
1_平日_20時00分_系統51111,20:04:00,20:04:00,1005027-20,6,5　ゆめタウン佐賀,0,0,,
1_平日_20時00分_系統51111,20:05:00,20:05:00,1005028-20,7,5　ゆめタウン佐賀,0,0,,
1_平日_20時00分_系統51111,20:12:00,20:12:00,1005031-00,8,5　ゆめタウン佐賀,1,0,,
1_平日_20時30分_系統51111,20:30:00,20:30:00,1001002-01,1,5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）,0,1,,
1_平日_20時30分_系統51111,20:31:00,20:31:00,1005023-20,2,5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）,0,0,,
1_平日_20時30分_系統51111,20:32:00,20:32:00,1005024-20,3,5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）,0,0,,
1_平日_20時30分_系統51111,20:33:00,20:33:00,1005025-20,4,5　ゆめタウン佐賀,0,0,,
1_平日_20時30分_系統51111,20:33:00,20:33:00,1005026-20,5,5　ゆめタウン佐賀,0,0,,
1_平日_20時30分_系統51111,20:34:00,20:34:00,1005027-20,6,5　ゆめタウン佐賀,0,0,,
1_平日_20時30分_系統51111,20:35:00,20:35:00,1005028-20,7,5　ゆめタウン佐賀,0,0,,
1_平日_20時30分_系統51111,20:42:00,20:42:00,1005031-00,8,5　ゆめタウン佐賀,1,0,,
1_平日_21時00分_系統51111,21:00:00,21:00:00,1001002-01,1,5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）,0,1,,
1_平日_21時00分_系統51111,21:01:00,21:01:00,1005023-20,2,5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）,0,0,,
1_平日_21時00分_系統51111,21:02:00,21:02:00,1005024-20,3,5　ゆめタウン佐賀（ほほえみ館・夢咲コスモスタウン 経由）,0,0,,
1_平日_21時00分_系統51111,21:03:00,21:03:00,1005025-20,4,5　ゆめタウン佐賀,0,0,,
1_平日_21時00分_系統51111,21:03:00,21:03:00,1005026-20,5,5　ゆめタウン佐賀,0,0,,
